gprop,member,score_vs_benchmark_group
Google Search (Web),Aralie JKT48,0.0246913580
Google Search (Web),Delynn JKT48,0.3333333333
Google Search (Web),Lana JKT48,0.2098765432
Google Search (Web),Erine JKT48,1.4074074074
Google Search (Web),Fritzy JKT48,2.0493827160
Google Search (Web),Lily JKT48,0.7407407407
Google Search (Web),Trisha JKT48,2.7407407407
Google Search (Web),Levi JKT48,0.0246913580
Google Search (Web),Nayla JKT48,0.3580246914
Google Search (Web),Nachia JKT48,0.4197530864
Google Search (Web),Oline JKT48,3.9753086420
Google Search (Web),Regie JKT48,0.1234567901
Google Search (Web),Ribka JKT48,0.0370370370
Google Search (Web),Nala JKT48,0.1481481481
Google Search (Web),Kimmy JKT48,0.1975308642
Youtube,Aralie JKT48,0.3703703704
Youtube,Delynn JKT48,1.7530864198
Youtube,Lana JKT48,1.4074074074
Youtube,Erine JKT48,2.4938271605
Youtube,Fritzy JKT48,2.9382716049
Youtube,Lily JKT48,2.8395061728
Youtube,Trisha JKT48,2.2839506173
Youtube,Levi JKT48,0.0864197531
Youtube,Nayla JKT48,1.0000000000
Youtube,Nachia JKT48,1.5555555556
Youtube,Oline JKT48,4.3086419753
Youtube,Regie JKT48,0.2716049383
Youtube,Ribka JKT48,0.1111111111
Youtube,Nala JKT48,0.8641975309
Youtube,Kimmy JKT48,0.5308641975
Google Search (Web),Aralie JKT48,0.0246913580
Google Search (Web),Delynn JKT48,0.3333333333
Google Search (Web),Lana JKT48,0.2098765432
Google Search (Web),Erine JKT48,1.4074074074
Google Search (Web),Fritzy JKT48,2.0493827160
Google Search (Web),Lily JKT48,0.7407407407
Google Search (Web),Trisha JKT48,2.7407407407
Google Search (Web),Levi JKT48,0.0246913580
Google Search (Web),Nayla JKT48,0.3580246914
Google Search (Web),Nachia JKT48,0.4197530864
Google Search (Web),Oline JKT48,3.9753086420
Google Search (Web),Regie JKT48,0.1234567901
Google Search (Web),Ribka JKT48,0.0370370370
Google Search (Web),Nala JKT48,0.1481481481
Google Search (Web),Kimmy JKT48,0.1975308642
Youtube,Aralie JKT48,0.3703703704
Youtube,Delynn JKT48,1.7530864198
Youtube,Lana JKT48,1.4074074074
Youtube,Erine JKT48,2.4938271605
Youtube,Fritzy JKT48,2.9382716049
Youtube,Lily JKT48,2.8395061728
Youtube,Trisha JKT48,2.2839506173
Youtube,Levi JKT48,0.0864197531
Youtube,Nayla JKT48,1.0000000000
Youtube,Nachia JKT48,1.5555555556
Youtube,Oline JKT48,4.3086419753
Youtube,Regie JKT48,0.2716049383
Youtube,Ribka JKT48,0.1111111111
Youtube,Nala JKT48,0.8641975309
Youtube,Kimmy JKT48,0.5308641975
